코스닥,코스피
761.33,"2,438.19"
740.49,"2,425.08"
679.29,"2,236.40"
729.54,"2,472.53"
695.33,"2,293.61"
672.65,"2,155.49"
807.04,"2,472.05"
803.62,"2,451.50"
745.44,"2,332.64"
893.36,"2,685.90"
904.75,"2,695.05"
944.53,"2,757.65"
881.07,"2,699.18"
872.87,"2,663.34"
"1,033.98","2,977.65"
965.63,"2,839.01"
992.33,"2,970.68"
"1,003.27","3,068.82"
"1,038.33","3,199.27"
"1,031.14","3,202.32"
"1,029.96","3,296.68"
981.78,"3,203.92"
983.45,"3,147.86"
956.17,"3,061.42"
913.94,"3,012.95"
928.73,"2,976.21"
968.42,"2,873.47"
886.11,"2,591.34"
792.65,"2,267.15"
848.15,"2,327.89"
848.24,"2,326.17"
815.30,"2,249.37"
737.97,"2,108.33"
713.68,"2,029.60"
645.18,"1,947.56"
569.07,"1,754.64"
610.73,"1,987.01"
642.48,"2,119.01"
669.83,"2,197.67"
632.99,"2,087.96"
658.52,"2,083.48"
621.76,"2,063.05"
610.55,"1,967.79"
630.18,"2,024.55"
690.53,"2,130.62"
696.47,"2,041.74"
754.74,"2,203.59"
729.31,"2,140.67"
731.25,"2,195.44"
716.86,"2,204.85"
675.65,"2,041.04"
695.76,"2,096.86"
648.67,"2,029.69"
822.27,"2,343.07"
816.97,"2,322.88"
775.52,"2,295.26"
818.22,"2,326.13"
879.66,"2,423.01"
875.95,"2,515.38"
871.09,"2,445.85"
857.06,"2,427.36"
913.57,"2,566.46"
798.42,"2,467.49"
771.42,"2,476.37"
694.20,"2,523.43"
652.82,"2,394.47"
657.83,"2,363.19"
650.47,"2,402.71"
669.04,"2,391.79"
652.04,"2,347.38"
628.24,"2,205.44"
619.28,"2,160.23"
612.20,"2,091.64"
616.13,"2,067.57"
631.44,"2,026.46"
596.11,"1,983.48"
624.68,"2,008.19"
681.21,"2,043.63"
663.69,"2,034.65"
706.24,"2,016.19"
675.09,"1,970.35"
698.45,"1,983.40"
699.77,"1,994.15"
688.38,"1,995.85"
651.62,"1,916.66"
682.80,"1,912.06"
682.35,"1,961.31"
688.38,"1,991.97"
683.63,"2,029.47"
678.48,"1,962.81"
687.11,"1,941.49"
725.06,"2,030.16"
742.27,"2,074.20"
711.39,"2,114.80"
689.01,"2,127.17"
650.49,"2,041.03"
624.56,"1,985.80"
591.58,"1,949.26"
542.97,"1,915.59"
545.08,"1,980.78"
558.70,"1,964.43"
573.22,"2,020.09"
570.20,"2,068.54"
536.32,"2,076.12"
537.06,"2,002.21"
546.53,"1,994.96"
559.34,"1,961.79"
541.58,"1,985.61"
528.96,"1,979.99"
515.20,"1,941.15"
499.99,"2,011.34"
517.06,"2,044.87"
532.44,"2,030.09"
534.89,"1,996.96"
516.74,"1,926.36"
554.31,"1,914.03"
519.06,"1,863.32"
577.87,"2,001.05"
563.87,"1,963.95"
555.02,"2,004.89"
535.87,"2,026.49"
503.67,"1,961.94"
496.32,"1,997.05"
499.37,"1,932.90"
508.31,"1,912.06"
523.78,"1,996.21"
508.35,"1,905.12"
467.61,"1,881.99"
489.16,"1,854.01"
471.94,"1,843.47"
478.89,"1,981.99"
519.56,"2,014.04"
542.30,"2,030.25"
513.99,"1,955.79"
500.18,"1,825.74"
492.81,"1,847.51"
490.69,"1,909.03"
449.66,"1,769.65"
493.44,"1,880.11"
536.05,"2,133.21"
479.55,"2,100.69"
484.54,"2,142.47"
511.00,"2,192.36"
525.42,"2,106.70"
504.46,"1,939.30"
521.38,"2,069.73"
510.69,"2,051.00"
498.39,"1,904.63"
526.45,"1,882.95"
492.75,"1,872.81"
464.71,"1,742.75"
481.45,"1,759.33"
489.98,"1,698.29"
489.42,"1,641.25"
523.75,"1,741.56"
515.74,"1,692.85"
507.03,"1,594.58"
